"State","Abbr","Year","Population","Reps"
"Alabama","AL",2010,4779736,7
"Alaska","AK",2010,710231,1
"Arizona","AZ",2010,6392017,9
"Arkansas","AR",2010,2915918,4
"California","CA",2010,37253956,53
"Colorado","CO",2010,5029196,7
"Connecticut","CT",2010,3574097,5
"Delaware","DE",2010,897934,1
"District of Columbia","DC",2010,601723,0
"Florida","FL",2010,18801310,27
"Georgia","GA",2010,9687653,14
"Hawaii","HI",2010,1360301,2
"Idaho","ID",2010,1567582,2
"Illinois","IL",2010,12830632,18
"Indiana","IN",2010,6483802,9
"Iowa","IA",2010,3046355,4
"Kansas","KS",2010,2853118,4
"Kentucky","KY",2010,4339367,6
"Louisiana","LA",2010,4533372,6
"Maine","ME",2010,1328361,2
"Maryland","MD",2010,5773552,8
"Massachusetts","MA",2010,6547629,9
"Michigan","MI",2010,9883640,14
"Minnesota","MN",2010,5303925,8
"Mississippi","MS",2010,2967297,4
"Missouri","MO",2010,5988927,8
"Montana","MT",2010,989415,1
"Nebraska","NE",2010,1826341,3
"Nevada","NV",2010,2700551,4
"New Hampshire","NH",2010,1316470,2
"New Jersey","NJ",2010,8791894,12
"New Mexico","NM",2010,2059179,3
"New York","NY",2010,19378102,27
"North Carolina","NC",2010,9535483,13
"North Dakota","ND",2010,672591,1
"Ohio","OH",2010,11536504,16
"Oklahoma","OK",2010,3751351,5
"Oregon","OR",2010,3831074,5
"Pennsylvania","PA",2010,12702379,18
"Puerto Rico","PR",2010,3725789,0
"Rhode Island","RI",2010,1052567,2
"South Carolina","SC",2010,4625364,7
"South Dakota","SD",2010,814180,1
"Tennessee","TN",2010,6346105,9
"Texas","TX",2010,25145561,36
"Utah","UT",2010,2763885,4
"Vermont","VT",2010,625741,1
"Virginia","VA",2010,8001024,11
"Washington","WA",2010,6724540,10
"West Virginia","WV",2010,1852994,3
"Wisconsin","WI",2010,5686986,8
"Wyoming","WY",2010,563626,1
